Sample in Buffer,Sample in Window,TRIGGER,cos_500kHz[15:0],cos_1MHz[15:0],cos_2MHz[15:0],cos_2_8MHz_wc[15:0],outputCos[17:0],filteredCos[18:0]
2144,2144,0,-8205,-14189,8188,27136,12385,5709
2145,2145,0,-11596,-8189,-8196,-14848,13883,8091
2146,2146,0,-14197,3,-16385,-29952,-32588,10550
2147,2147,0,-15830,8197,-8191,8192,-48245,1084
2148,2148,0,-16385,14193,8193,31744,-5588,-11113
2149,2149,0,-15826,16384,16384,-2048,24503,-11121
2150,2150,0,-14189,14183,8188,-32256,-5586,-3606
2151,2151,0,-11584,8182,-8196,-5120,-37307,-4552
2152,2152,0,-8189,-13,-16385,31232,-14662,-13310
2153,2153,0,-4238,-8205,-8191,11264,18939,-15312
2154,2154,0,3,-14197,8193,-28928,875,-8664
2155,2155,0,4245,-16385,16384,-17664,-33976,-7363
2156,2156,0,8197,-14189,8188,25088,-17516,-14937
2157,2157,0,11589,-8189,-8196,22528,28237,-17449
2158,2158,0,14193,3,-16385,-20736,27973,-8209
2159,2159,0,15827,8197,-8191,-27136,-10639,-190
2160,2160,0,16384,14193,8193,14848,-9259,-2826
2161,2161,0,15823,16384,16384,29952,40376,-4788
2162,2162,0,14183,14183,8188,-8192,58063,5904
2163,2163,0,11578,8182,-8196,-31744,15129,19681
2164,2164,0,8182,-13,-16385,2048,-18124,21003
2165,2165,0,4230,-8205,-8191,32256,6126,13846
2166,2166,0,-13,-14197,8193,5120,30335,13646
2167,2167,0,-4254,-16385,16384,-31232,56,19524
2168,2168,0,-8205,-14189,8188,-11264,-39583,17097
2169,2169,0,-11596,-8189,-8196,28928,-24517,5064
2170,2170,0,-14197,3,-16385,17664,11188,-1699
2171,2171,0,-15830,8197,-8191,-25088,-629,1310
2172,2172,0,-16385,14193,8193,-22528,-38868,989
2173,2173,0,-15826,16384,16384,20736,-29769,-8852
2174,2174,0,-14189,14183,8188,27136,17198,-15188
2175,2175,0,-11584,8182,-8196,-14848,22085,-8990
2176,2176,0,-8189,-13,-16385,-29952,-24390,-2345
2177,2177,0,-4238,-8205,-8191,8192,-42245,-8150
2178,2178,0,3,-14197,8193,31744,-2197,-17693
2179,2179,0,4245,-16385,16384,-2048,26696,-16031
2180,2180,0,8197,-14189,8188,-32256,-1900,-7354
2181,2181,0,11589,-8189,-8196,-5120,-29107,-6910
2182,2182,0,14193,3,-16385,31232,325,-13323
2183,2183,0,15827,8197,-8191,11264,41329,-11577
2184,2184,0,16384,14193,8193,-28928,29141,202
2185,2185,0,15823,16384,16384,-17664,-3400,7462
2186,2186,0,14183,14183,8188,25088,10447,5679
2187,2187,0,11578,8182,-8196,22528,48409,7580
2188,2188,0,8182,-13,-16385,-20736,36148,18734
2189,2189,0,4230,-8205,-8191,-27136,-16658,25429
2190,2190,0,-13,-14197,8193,14848,-29057,18085
2191,2191,0,-4254,-16385,16384,29952,9784,8560
2192,2192,0,-8205,-14189,8188,-8192,21601,9936
2193,2193,0,-11596,-8189,-8196,-31744,-21445,14094
2194,2194,0,-14197,3,-16385,2048,-49484,6971
2195,2195,0,-15830,8197,-8191,32256,-16245,-6272
2196,2196,0,-16385,14193,8193,5120,18476,-9550
2197,2197,0,-15826,16384,16384,-31232,-2121,-3738
2198,2198,0,-14189,14183,8188,-11264,-34770,-3801
2199,2199,0,-11584,8182,-8196,28928,-16315,-12019
2200,2200,0,-8189,-13,-16385,17664,19386,-14596
2201,2201,0,-4238,-8205,-8191,-25088,5371,-7925
2202,2202,0,3,-14197,8193,-22528,-35477,-5592
2203,2203,0,4245,-16385,16384,20736,-27576,-13763
